B) Fragebogen-ID,F13 Was gef?llt Dir hier besonders gut?
557,"Ausgang, L?den"
558,
559,Den Rhein
560,Das ich mit ? V überall hinkomme.
561,Der Rhein
562,"Tolle L?den, ruhige Quartiere, nette Menschen, tolle comfortable H?user"
563,Der Rhein  Das man schnell und einfach zu einem anderen Ort gehen/Fahren kann.
564,Gut gef?llt mir es am Rhein zu verweilen oder mir mit Freunden auf dem Jakobsberg herum zu treiben
565,Alles
566,Alles
567,
568,Ich gehe fast nie raus
569,Die Grünfl?chen sind sehr gut verteilt in der Stadt.
570,alles
571,
572,Das wir viele ?ffentlichen gef?hrte haben.
573,
574,
575,"Die M?glichkeiten zum Fussballspielen, denn ich bin ein professioneller Spieler beim Fc Concordia"
576,
577,Das hier sehr viel Trams/Busse fahre
578,Was gef?llt mir in Basel-Stadt ist die offentlicher Verkehr und jugendfreizeit.
579,Die sch?ne Vegetation  Viel Park  Nahe ?ffentliche Verkehrmittel
580,"Die Stadt, der Rhein, die Leute u.s.w"
581,Rhein  Shopping  Parks/Schwimmbad/Ort zum Trainieren
582,Der nicht zu lange Weg zur Stadt.  Shisha - Bars in allen Ecken.
583,"Sch?ne Stadt, viele ""Feste"", Rhein"
584,/
585,FC Basel  Alt Stadt
586,Die Velo-Freundlichkeit der Strassen
587,/
588,
589,Stadt  Viele Ausgangsm?glichkeiten
590,"Es ist eine sch?ne Stadt.  Ich bin hier aufgewachsen, darum kenne ich mich gut aus. Mit dem Velo kommt man überall hin."
591,"Die Stadt ansich, Altstadt, der Rhein usw."
592,
593,Es gibt gute Bus-/Tramverbindungen
594,Rhein  Birsk?pfli  Viele Bars
595,Rhein  Birsk?pfli  Viele Bars
596,Leonhard  Rhein
597,
598,
599,
600,Vieles. Das es viele Treffpunkte hat finde ich sehr gut und das es Orte gibt in denen man unterstützung in Hausaufgabe kriegt.
602,"Viel Kultur, viele Festivals, Jugendangebote, sch?ne Altstadt"
603,Die Konzerte
604,Kollegen/Freizeitangebot  Ausgang  Fuessballmanschaft (FCB 1893)
605,"Kollegen, Verein, Lebensqualit?t, (?V)"
606,"Kulturelles Angebot  Freunde  Lage, an Frankreich & Deutschland"
607,Der Rhein  Die Messe & M?rte
608,"Gute ?V, viel Ausgehm?glichkeiten, sch?ne Grünfl?chen, aber trotdem eine ""Stadt""."
609,Es gibt nette Leute.
610,?V f?hrt h?ufig.
611,FC BASEL!
612,Ausgang  N?he zu allem  ?V
613,Es ist sehr leicht mit dem Velo die Stadt zu erreichen.
614,"Mir gef?llt gut, dass es ein sehr grünes Quartier ist, in dem ich wohne, aber das es trotzdem nahe an der Stadt ist."
615,Der Rhein.
616,"Die Stadt, die Freizeitangebote"
617,?V
618,"Nightlife, Restaurants, Rhein, Parks"
619,Rhein
620,
621,
622,"Infrastruktur, man kommt überall hin."
623,"der Rhein  Es ist alles in der N?he, man kann auch zu Fuss gehen."
624,Viele Freizeit Aktivit?ten ist m?glich  Sch?ne Stadt und hat viele sch?ne Aussichten
625,"Viele Einkaufsm?glichkeiten, Unterhaltung, nicht langweilig"
626,Alles
627,
628,"Es ist eine offene, gemütliche Stadt mit vielen Angeboten, M?glichkeiten."
629,"Der Rhein, viele Kulturen"
630,Infrastrukur
631,Das man mit dem ?V überall hinkommt.
632,
633,
634,"Viele M?glichkeiten etwas zu unternehmen.  Viele Museen, M?rkte"
635,
636,"?V, Lage, gr?sse der Stadt, Kulturaktivit?ten  ""Chill""-m?glichkeiten"
637,Das es alles hat in der n?heren Umgebung. Auch das Es viel Parks gibt und den Rhein.
638,"Man hatt alles in der Umgebung, der Rhein, die Stadt, Ausgang"
639,alles
640,Ziemlich alles!!!
641,Es giebt viele angebotte zum spielen.  Mann kann gut verdienen und es hat genügend Arbeiten.  Wir haben nicht so viele Politik probleme wie in Italien
642,Mir gef?llt dass es viel Tr?me und Büsse hat und dass der Stadt fast neben mir ist.
643,viele Freunde  Die Stadt
644,Der Reihn man kann dort Schwimmen aber auch einfach sitzen und etwas essen.
645,Die Stadt zum Shoppen und der Rhein.
646,"die Einkaufsladen,"
647,Eigentlich alles auser der viele Ferker
648,Das ein Fussballplatz in der n?he ist
649,"Also es ist sauber, es hat viele Angebote. Die Stadt hat viele L?den. Die Stad ist friedlich."
650,Die L?den.  Die Sportvereine.  Gute ?rtzte
651,Der Rein und die Wisse  eigedlich alles
652,Das es viel Natur hat  Es hat sch?ne konstruktionen  es wird alles so sch?n gebaud.
653,"Die Schulen, die grosse Stadt"
654,Man hat alles was man braucht.  Es ist eine Hilfsbereite Stadt.
655,Die Natur. Es hat viel grün.
656,Das Basel eine Kleinstadt ist ist Toll.  Die Fasnacht.
657,Der Rhein! :) und mann kann sich hier in Basel sicher fühlen.
658,Stadt in der N?he  Lebensmittelladen in der N?he  Schule in der N?he
659,Alles.  Sch?ne Ampeln.  Nette Leute.
659,Es ist sauber.
660,Die Vernetzung ?ffentlichen Verkehrsmittels   Die vielen L?den in den St?dten  Veranstalltungen.
661,Weiss nicht
662,Der Rhein  Das alles zu Fuss erreichbar ist
663,Rhein
664,Das ?ffentliche Verkehr ist gut verteilt und es hat viele L?den.
665,Die Stadt
666,
667,Altstadt
668,Tram-/Busnetz  Ein bestimmter Laden
669,viele M?glichkeit
670,- Rhein  - Stadt
671,"Rhein, Shishabars"
672,
673,Fc Basel  Rhein  Natur
674,-
675,"?V, Parkanlagen, Stadt"
676,
677,Der FC Basel 1893  Der Rhein
678,Die Leute  Die Stadt
679,Mir gef?llt alles Ich liebe es in der Stadt zu wohne ich k?nnte mir nicht vor stellen auf den Land zu wohnen
680,Der Reihn
681,Fussball marchte gef?llt mir besonders.
682,der Rhy ist sher sch?n
683,Die Menschen die viele Parks zum chillen und die Schulen
684,"Ich finde die Stadt hier ist sehr sch?n, ich habe meine freunde hier und ich bin hier geboren. Ich kenne den verkehr sehr gut."
685,alles
686,eigentlich alles
687,FC Basel / Fussball  Leute  Sauber
688,
689,
690,Mir gef?llt die Gr?sse von Basel (nicht zu gross/nicht zu klein)
691,Ordnung  Sauberkeit
692,"Basel ist nicht zu gross, kann sich orientieren, Die Stadt (Center) in der N?he ist"
693,- Sicherheit  - Sauberkeit  - Viele ?ffentliche (übersichtliche) Verkehrswege
694,"Es gibt viele einfache Angebote (auch Gratis). Man ist in der N?he von Schule, Museen, Zoo, Schwimmbad usw."
695,Eigentlich alles
696,Mir gefallen die meist pünktlichen ?ffentlichen Verkehrsmittel.
697,Die meisten attraktionen sehr n?he verbunden  Es gibt alles das ich brauch ins besondere Banken usw.  Basel hat sehr viele m?glichkeiten fur die Zukunft
698,Tennisplatz in meiner N?he  Has - Sofra D?ner Bude
699,Die Lage.
700,Rhein  Leute  Schule
701,"Rhein zum schwimmen, gute Tramverbindung. Ab und zu mittlerer Skatepark."
702,
703,
704,"Kollegen, Sportm?glichkeiten"
705,Sauberkeit
706,Spielpl?tze
707,P?rke  BVB
708,Wohnlage  Altstadt
709,Rhein  Alles
710,Birs  Rhein   Alles
711,Mir gef?llt die Brücken  Mir gefallt die Flüsse
712,ich finde den Park super da ich hingehen kan.
713,Mir gefallen die Brücken in Basel-Stadt.  Mir gef?llt der Rhein.  Mir gef?llt die Herbstmesse + MUBA.
714,Die Schule.  Das Weter
715,Weis nicht
716,Die Sprache gef?llt mir.
717,"Mir gef?llt es gut, dass wir hier viele ?ffentliche Verkehrsmittel haben."
718,"Das wir so viele Festen haben (Fasnach, Messe..."
719,Alles
720,Park und Schule
721,Ich finde es toll das die Tram Stadtion gerade neben meinr Wohnung ist. Und ich finde es toll das ich gerade neben dem Messeplatz wohne.
722,Das die Stadt gross ist
723,Mir gef?llt in Basel die Schulen
724,Das es mehrere Jugenzentren gibt.  Das es viele p?rke gibt
725,"Die Stadt, die Leute, die Temparaturen."
726,Die Parks weiss nicht ein paar sachen gefallen mir und ein paar nicht.
727,Alles gef?llt mir    ich finde alles besonders.
728,Die Dreirosen anlage.  Mir gef?llt Basel - Stadt
729,Das alles in der N?he ist
730,Mir gefallen die Museen. Und noch die Parken.
731,"Die ?ffentlichen Brunnen! Im Sommer eine Wohltat, so ein erfrischendes Brunnenbad! :-)"
732," der Rhein, das Bachgraben,  das Birsk?pfli, die Stadt an sich"
733,"Rhein, Kanenfeldplatz, Barfi, Mitte, Mein Zuhause"
734,Es ist nicht gerade die kleinste Stadt doch man ist schnell an verschiedenen Orten. Ich mag die Stadt und die Leute. Auch die Veranstaltungen wie das JKF oder das Imagine gefallen mir
735,Alles ist gut zug?nglich und in der N?he  Die Leute
736,"Sch?ne Lage am Rhein. (N?he zu Deutschland und Frankreich).  Angenehme Atmosph?re um zu leben (ruhig, optimale Gr?sse der Stadt)"
737,"Die Innenstadt, sch?ne Parks"
738,
739,
740,
741,"Relativ kompakt, Tolle ?V, viele Velowege"
742,Meine Klasse  Der Messeturm  Der Rhein
743,
744,"der Rhein, die Stadt selber"
745,Der Rhein und das Ufer
746,"Die Leute, Die Parks & Die ?V"
747,
748,
749, Parks  - ?ffentliche Verkehrsmittel  - Sauberkeit
750,"Die Stadt, Altstadt, Parks, Verkehr"
751,Rhein  L?den/Cafes  Sauber zum teil
752,Der Rhein
753,Der Rhein
754,"Der Rhein  Unser Quartier, Der Garten, Der Plats vor der Tür.  Die Altstadt"
755,Das es viele Kinder hat.
756,Viele Fussballpl?tze  Viele Freunde  Die Stadt
757,Der Rhein  Das Trampolin im Garten
758,der Zoo Basel
759,Der Rhein und die Stadt
760,Ich geh noch gern auf den Flohmarkt
761,Der Rhein    die Stadt  Das man überall schnell hin kommt
762,mir gefellt gerne das ich z.b. einen skateboard Park gerade vor meiner strasse habe. Das ist der Theodorsplatz dort gibt es auch einen baskettballkorb.
763,Fast alles
764,"Fc Basel, Landhof"
765,Das es nicht so viele Hochh?user hat und das es viele m?glichkeiten zum spielen gibt das es viele Spielstrassen gibt und das es keine so grosse Stadt ist
766,Viele Caffes/Restaurants  Viele L?den  Sauber
767,die Leute die Strassen das Rhein
768,Der Rhein  Der Horburgpark  Die Schule
769,St. Jakob
770,"Die Atmosph?re, die Kultur vermischung, das Leben in der Stadt"
771,Die sch?nen Strassen / Der Rhein / Die Schule / Die P?rke
772,"Menschen, Shoppingvielfalt"
773,Die Ruhe in meinem Quartier
774,"nicht zu gross, nicht zu klein  ""Multikulti""  Viele Freizeitangebote"
775,Alles: Ich habe alles zur Verfügung was ich will...  Von einem Stadion bis zu einem tollen Bad und guten Einkaufsm?glichkeiten. Sehr viele Kinos hat es
776,die Abwechslung zwischen Wald und Wiese Sowie Innenstadt und Shopping.
777,
778,Der ?V
779,"Rhein, Leute"
780,
781,Viele L?den
782,Freunde leben auch im Quartier
783,Viele L?den  Nette Leute
784,
785,Die Freiestrasse
786,Innenstadt
787,Einfach alles
788,Dases viel wege oder P?rke gibt.
789,Der Rhein
790,Das der Bus all 5 min komt.  auch das Tram kommt all 5 min.
791,Die Schule ist nahe.  Ein Fussballplatz ist auch nahe.
792,"Die Fasnacht, die Inenstadt, die Einkaufsl?den"
793,Grossbasel gef?llt mir  Fussballpl?tze  Das Basel an Deutschland und an Frankreich gr?nzt
794,Wenig Verkehr im Quartier.
795,"Die Basilisk-Brunnen, der Rhein"
796,Mein Haus
797,die ganze Stadt gef?lt mir.
798,"Die Schule ist nahe am Wohnort, Fussballplatz ist nahe, park ist nahe."
799,Die Badi (Bachgraben)
800,
801,
802,
803,
804,Es ist sauber   Man ist schnell in der Stadt  Ich habe das OB Stadion in der N?he
805,Die Schule - Fussball Platz einfach alles
806,"Die Stadt, der Rhein, Shopping, W?lder"
807,Das es moderne Seiten gibt aber auch noch die antiken Sachen.
808,Der Rhein gef?llt mir am besten. Ich finde es toll abends am Rhein zu spazieren.
809,Das es Tram und Buslinien gibt!
810,"Das jede Ecke von Basel jemandem immer überraschen kann z.mb das Münster, Marktplatz, Bankverein."
811,Riehen: Sehr ruhig und friedlich.
812,Rhein / Umgebung / Die sch?ne Natur / Das es viele B?ume gibt
813,Das es in den verschiedenen Quartieren einen Park gibt und dass man mobil ist.
814,"Die P?rke, Ruhe und Atmosph?re"
815,das es viele Parks hat.
816,
817,"die Umgebung, Natur, Einkaufsm?glichkeiten"
818,"Das meine Freunde in der N?he wohnen und alles vorhanden ist, was man braucht"
819,"Die Umgebung, die Stadt."
820,Der Rhein und die Stadt.
821,"Der Rhein, die sch?ne Stadt an sich, alles!"
822,
823,"Die Strassen sind sauber, die Menschen sind sehr freundlich."
824,Meine Freunde und die Gr?sse.
825,
826,Das es eine wundersch?ne Stadt ist mit offenen Mensch und jeder menge Kultur
827,
828,
829,
830,Das wir direkt am reihn leben und es so viele m?glichkeiten gibt Fussball zu spilen.
831,
832,Das es am Rhein sch?n ist.  Das es Shishabars hat.  Die tollen p?rke.
833,
834,Rhein  Stadt  -
835,"Am Abend am Rhein sitzen oder laufen, in die Stadt gehen."
836,
837,
838,
839,
840,
841,
842,
843,Freizeitangebote; ?V (?ffentlicher Verkehr)
844,
845,
846,
847,?V (?fentliche Verkehrsmittel); immer etwas los
848,
849,Dichtes Verkehrsnetz
850,
851,
852,"Kulturelle Vielfalt, Lebendige Quartiere mit eigenem Charakter"
853,
854,
855,
856,
857,Stadt in der N?he
858,ka
859,Mit dem ?V schnell und sicher in der ganzen Stadt unterweg
860,Das wir nahe an Deutschland und Frankreich leben. Die Leute/Freunde sind hier in Basel (n?he)
861,Die sichere Umgebung und die sch?nen Strassen
862,Die Stadt selbst  Badi  Die Schulen
863,Das alles so nahe ist
864,Basel Allgemein gute gr?sse nicht zu gross
865,fast alles aber vorallem die stadt gef?llt mir sehr gut.
866,Die Stimmung und die Leute sind nett  Viele menschen aus anderen L?ndern
867,"Die Sehenswürdigkeiten, meine Schule, L?den,... eigentlich alles."
868,
869,
870,Ausgang  Stadt  Feldbergstrasse Basel!
871,Die Atraktionen  Menschen  Gute m?glichkeit überall hinzukommen
872,"Die Natur, Die Laden, die Menschen sind freundlich"
873,Es hat viele m?glichkeiten etwas zu unternehmen.
874,"Das ich nahe von der Stadt wohne, das es in der Stadt caffes und auch laden giebt."
875,Der Fc Basel.
876,Dass es ein sauberer Kanton ist.
877,Man hat alles was man braucht.
878,Das es sch?n ist.
879,Ich finde in Basel gibt es gute Shoppingm?glichkeiten.
880,Basel ist eine kleine Stadt mit vielen Freizeit m?glichkeiten man ist schnell irgendwo.
881,Die vielen sch?nen Pl?tze.
882,Die Stadt und einfach die Leute sind nett und freundlich.
883,"Die Sauberkeit, die Umgebung, die Leute"
884,Die Stadt.  Menschen
885,Das Bruderholz und die Alt Stadt Basel.
886,Freundliche Personen  Viele Leute
887,Das das Stadt zentrum von mir zuhause ganz nahe ist.  Das wenn ich Fussballspielen gehe 5 - 10 Min brauch.
888,Es gibt viele Orte an denen man etwas unternehmen kann.
889,Es ist eine grosse Stadt und sie ist sch?n
890,"Es ist ruhig, sauber und es gibt gutes essen"
891,Es ist alles sehr nah.
892,"Es gibt von allem genug, z.B. Kinos, D?nerbuden, Sportpl?tze, Parks etc."
893,"Mir ist es wichtig, eine Tramhaltestelle nah an meinem Haus zu haben und das habe ich auch. Das ist besonders gut."
894,
895,Das mann viele parks hat und viele Aktivit?ten die man machen kann. Und auch mein freunde sind da.
896,
898,
899,es hat viele P?rke
900,es ist toll
901,Das die Schule nicht sehr weit entfernt ist.
902,Eigentlich gef?llt mir alles... aber die Stadt find ich am sch?nsten es gibt auch andere Sachen.
903,Alles
904,Alles
905,Weiss nicht
906,
907,
908,Das Basel meine Heimat ist und das ich mich hier wohl fühle. Ausserdem ist hier vieles vorhanden (Fussballpl?tze etc.)
909,Ka.
910,Die P?rke.
911,"Dass es viele kulturelle Institutionen wie: Theater, Museen gibt.  Dass es kein Atomkraftwerk gibt.  Dass es viele Leute gibt die das Velo als Fortbewegungsmittel nützen"
912,Die Stadt: ins besondere die L?den -> Shopping  gute Bibliotheken  Tolle Aufenthaltsorte.
913,Das es viele Freizeitm?glichkeiten gibt und man sie sehr gut mit dem Velo ereichen kann.
914,"Nichts ist weit weg  Das Tram  Die alte Stadt, das Rheinschwimmen"
915,Die Sicherheit und die Verkehrsverbindungen.  Auch ist alle mit dem Velo schnell und eigentlich sicher zu erreichen
916,"Die verschiedene M?glichkeiten, die es hier hat."
917,"Die Stadt. Mir gef?llt es, dass ich in der Innenstadt wohne, und deshalb recht schnell überall hinkomme."
918,Der Wald in der N?he meines Hauses  Der Rhein  Die Natur
919,
920,Das hier viel los ist und das man eben nicht so abgeschieden ist.
921,Das es im gegensat zu anderen St?dten eher klein ist aber genug gross und mir gef?llt der Rhein sehr gut.
922,Die Stadt
923,Ich wohne sehr in der n?he der Stadt
924,"Ich habe keine richtige Begründung, da ich mich sehr wohl, weil meine Familie und Freunde hier leben und weil ich hier aufgewachsen bin, ich kenne die Stadt also sehr gut."
925,
926,Das es viel grün hat!  Und man hat viele m?glichkeiten mit Freunden etwas zu unternehmen!
927,Parks  Freizeitbesch?ftigungen  L?den in der Stadt
928,"Das es die Stadt hat, aber unser Quartier sehr ruhig ist."
929,Das die meisten ?ffentlichen Orte gut erreichbar sind. Die Stadt ist nah und man ist auch schnell in der Natur.
930,Das ich in einem ruhigen Quartier lebe
931,
932,Basel ist klein und man kommt leicht dort hin wo man will
933,
934,
935,viele P?rke  Gute Shopping m?glichkeit  Saubere Stadt
936,"die gute Verbindung von Tram, Bus, Zug  die N?he von Stadt und Land  schl?ne und viele M?glichkeiten zum Shoppen"
937,
938,alles
939,Die Stadt/das Zentrum erreiche ich innerhalb 5-8 Minuten.
940,Die freundlichen Menschen
941,
942,"Vielf?ltiges Programm  sch?ne Pl?tze (z.B. Rhein, Parks)"
943,
944,4052 Quartier
945,
946,
947,
948,
949,
950,"der Rhein, es gibt das JKF, Imagine etc, zeimlich viele M?glichkeiten zum Shoppen gehen, viele Cafés, Flohm?rkte"
951,"Man kann im Rhein schwimmen gehen, es gibt tolle Cafés, man ist schnell in der Kultur..."
952,Der Rhein  Alt-Innenstadt  Kleinbasel
953,Es isch j??s!
954,Fliessendes Wasser  Ein Dach zum Wohnen.  Im reichsten Land der Welt sein
955,der Rhein
956,"Den Rhein, Barfi, etc."
957,"der Rhein, alles"
958,Die Stadt aber sie k?nnte etwas gr?sser sein.
960,FC Basel  Rhein  Stadt
961,"Rhein, Altstadt"
962,"alles sehr gut organisiert, Rhein"
963,Alles
964,"Schule, Leute, Stadt"
965,<3 FC Basel <3
966,"Die Abwechslung aus Natur, Stadt. Die Natur in der Stadt, z.B Rhein. Die M?glichkeiten"
967,"FC Basel, Rhein"
968,?
969,Sehr viel Luxus. Keine Hungersnot oder ?hnlichen. Schule/Bildung. Glaubensfreiheit.
970,Die Umgebung ist sch?n und friedlich.  Man hat viele M?glichkeiten in der Freizeit zu was unternehmen.  Es hat viele Sachen in der N?he.
971,
972,Es gibt viele m?glichkeiten etwas zu unternehmen
973,Das Stücki shopping.  Die Innenstadt  Tolle Restaurantes! :)
974,"Viele einkaufsm?glichkeiten, Kinos und Restaurants. (Leider nicht sehr viele Freizeitangebote)."
975,Die sch?nen alten Geb?ude  Die Umgebung  Das es sehr viele Shopping m?glichkeiten hat
976,Rhein
977,Es gibt viele M?glichkeiten etwas zu unternehmen
978,Es ist eine sch?ne Umgebung
979,"Die Stadt, da kann man gut einkaufen gehen.  Der Rhein, da kann man gut chillen."
980,die Stadt  der Rhein
981,Der Rhein  Die Stadt
982,Der Rhein  Eglisee  Innenstadt
983,Es gibt viele Spielpl?tze.
984,Fc Basel  Angenehme Wohnsituation (Bettingen)
985,Die vielen verschiedenen Einkaufsm?glichkeiten & die vielen guten Bibliotheken!
986,
987,
987,Das die Stadt nich so gef?hrlich ist  sauberkeit  Sehenswürdigkeiten
988,Die ganze Stadt gef?llt mir sehr.  Die Einkaufsl?den  Sehenswürdigkeiten
989,Das es Sauber ist
990,Freunde  Familie  Weil ich schon lange hier bin.
991,Das Schwimmen im Rhein.  Die F?ren.  Das Stücky
992,
993,
994,
995,"Die Lage, Umgebung etc."
996,Weiss nicht
997,Das Jugi-Landauer.
998,Die sch?ne Umgebung
999,Das es überall in der N?he eine Haltestelle gibt.
1000,Die Stadt gef?llt mir sehr gut eigentlich gef?llt mir hier alles sehr gut
1001,Es gef?llt mir das ich nahe bei der Stadt wohne und das es immer genügent Verkehrsmittel gibt wie z.B: Bus Tram etc.
1002,Das die Freunde in der N?he sind.  Das Bus / Tramstationen in der N?he sind.
1003,"Das es viele sachen gibt z.b. p?rke, L?den, Verkehrsmittelund die viele netten leute, und die Bibliotheke GGG"
1004,"Mein Quartier, die vielen L?den, Verkehrsmitteln"
1005,Mir gef?llt alles gut.  Ich habe 2 Bussstationen in der N?he und eine Tramstation das finde ich gut
1006,Das es sch?ne P?rke hat
1007,
1008,Wenn ich bei mir zuhause bin fühl ich mich wohl und in der Stadt fühl ich mich auch wohl weil sie nicht zu gross ist.
1009,"Die Umgebung.  Die N?he zur Stadt  In der N?he meiner Familie (Grosseltern, Vater e.t.c.)"
1010,"Ich finde mein Quatier gut, weil ich viele Freunde habe."
1011,Die Luft ist sauber.  Es ist ruhig.  Ich finde alles was ich brauche.
1012,In der N?he ist einen Stadt und Einkaufscenter zum einkaufen. Man hat viele Freunde
1013,Das Eglisee und die Stadt ist neu für mich.
1014,"Die Stadt, Herbstmesse, Freizeitsm?glichkeiten, Die Ferien"
1015,"übersichtlich, sauber, alles nah bei einander, überall Trams und Busse"
1016,"Die Stadt gef?llt mir gut, der Rhein ist wundersch?n. Eigentlich gef?llt mir alles."
1017,Die Stadt  Herbstmesse  Die Ferien hier
1018,Die Leute sind nicht immer gestresst. Es gibt alles hier. Basel ist nicht sehr gross und sehr übersichtlich und gut vernetzt mit Tram und Bus.
1019,"Das mann hier alles hat was man braucht und viele Atraktionen wie zbs: Fasnacht, Herbstmesse usw. Und das es Orte gibt für jung und alt."
1020,Gamestop  Barfüsserplatz  Mein Zuhause
1021,
1022,Das es so eine grosse Stadt hat. Z.B. Claraplatz wo man gut einkaufen kann z.B. Videospiele / Essen / Spielsachen / Kleider
1023,"Es gef?llt mir, dass es viele Velowege hat, und das man in der Langen Erlen Skaten darf."
1024,Das es ruhig und tolle umgebung ist.
1025,alles
1026,Der Rhein gef?llt mir in Basel und das es in Basel viele L?den gibt.
1027,Das es viele Sachen hat.
1028,Meine Schulhaus
1029,
1030,"Die Natur, und das viele Verwanten von mir hier wohnen."
1031,Das ich nich weit laufen muss zu Micros  Das ich wen ich wiel spielen kann  Das ich nahe bei meinen Koleginen wohnen
1032,Mir g?fellt hier die Schulen oder spiel pl?tze.  Mir gefallen auch die Einkaufszentrum.  Und das wir Herbstmesse haben Fasnacht und so weiter.
1033,Basel sieht sch?n aus
1034,
1035,Die Schwimmb?der  Shopping  Spielpl?tze
1036,"Mir gef?llt das Einkaufszentrum am meisten und auch Neujahr, Messe, Fasnacht am meisten."
1037,"Dass es sch?n ist.  Weil vor meiner Tür die Muba, Herbstmesse und so weiter ist.  Weil es einfach nicht besser geht."
1038,Dass es in der N?he ein Fussballplatz gibt
1039,Dass es alles hat was ich gebrauchen k?nnte  Dass es hier die Muba und die Herbstmesse gibt
1040,Dass es eine kleine Stadt ist.  Dass ich mich hier gut in Basel auskenne
1041,Dass die Aussicht sch?n ist.
1042,Das Wetter ist immer sch?n. Es ist eher ruhig in Basel und sch?n.
1043,"Der grosse Rhein, weil man von der Brücke aus den Rhein am besten sieht."
